,종목,시가총액,티커
838,한솔제지,374859072000,213500
839,한솔케미칼,1972323930000,014680
840,한솔테크닉스,148187086970,004710
841,한솔홀딩스,130646674470,004150
842,한솔홈데코,82579277725,025750
843,한신공영,105756216280,004960
844,한신기계,197921521100,011700
845,한양증권,116466086100,001750
846,한양증권우,7901250000,001755
847,한온시스템,3934106000000,018880
848,한올바이오파마,713084708700,009420
849,한익스프레스,51600000000,014130
850,한일시멘트,751487709000,300720
851,한일철강,83029100600,002220
852,한일현대시멘트,323496537000,006390
853,한일홀딩스,319120349400,003300
854,한전KPS,1415250000000,051600
855,한전기술,1987440000000,052690
856,한전산업,268950000000,130660
857,한진,299699941400,002320
858,한진중공업홀딩스,100401360800,003480
859,한진칼,2386734207000,180640
860,한진칼우,12104073300,18064K
861,한창,72939585360,005110
862,한창제지,85026167550,009460
863,한컴라이프케어,165492947880,372910
864,한화,1828993134000,000880
865,한화3우B,311237200000,00088K
866,한화생명,1702318800000,088350
867,한화손해보험,440105709550,000370
868,한화솔루션,9200495705700,009830
869,한화솔루션우,42814379700,009835
870,한화시스템,2059221340100,272210
871,한화에어로스페이스,2911225000000,012450
872,한화우,13947455400,000885
873,한화투자증권,512769182250,003530
874,한화투자증권우,24336000000,003535
875,해성디에스,740350000000,195870
876,해태제과식품,172371586240,101530
877,핸즈코퍼레이션,72258100740,143210
878,현대건설,4159137822750,000720
879,현대건설기계,657021446550,267270
880,현대건설우,60750316800,000725
881,현대그린푸드,615538236600,005440
882,현대글로비스,6037500000000,086280
883,현대두산인프라코어,913666958820,042670
884,현대로템,2695814637100,064350
885,현대리바트,185228243640,079430
886,현대모비스,18489039877000,012330
887,현대미포조선,4253838868500,010620
888,현대백화점,1263731814000,069960
889,현대비앤지스틸,173406326500,004560
890,현대비앤지스틸우,6437327200,004565
891,현대약품,149440000000,004310
892,현대에너지솔루션,672000000000,322000
893,현대엘리베이,930586354800,017800
894,현대오토에버,3071485984000,307950
895,현대위아,1582753830600,011210
896,현대일렉트릭,1193160168500,267260
897,현대제철,4063424153250,004020
898,현대중공업,10785933594000,329180
899,현대차,35896255416000,005380
900,현대차2우B,2918836080000,005387
901,현대차3우B,186283974500,005389
902,현대차우,1919306778000,005385
903,현대차증권,305709097680,001500
904,현대코퍼레이션,207033317900,011760
905,현대코퍼레이션홀딩스,90371301480,227840
906,현대퓨처넷,274405333050,126560
907,현대해상,2664120000000,001450
908,현대홈쇼핑,546000000000,057050
909,형지엘리트,42370525280,093240
910,혜인,73098295250,003010
911,호전실업,68542387520,111110
912,호텔신라,2908285766100,008770
913,호텔신라우,41428532900,008775
914,화성산업,116217500000,002460
915,화승알앤에이,69801564525,378850
916,화승엔터프라이즈,621040079000,241590
917,화승인더,223492800000,006060
918,화승코퍼레이션,65316883860,013520
919,화신,266791932400,010690
920,화인베스틸,64775721675,133820
921,화천기계,132440000000,010660
922,화천기공,66220000000,000850
923,환인제약,317131193500,016580
924,황금에스티,118830000000,032560
925,효성,1529756415000,004800
926,효성ITX,155457790000,094280
927,효성중공업,534296600400,298040
928,효성첨단소재,1455983100000,298050
929,효성티앤씨,1235553211000,298020
930,효성화학,374839805000,298000
931,후성,1111281828000,093370
932,휠라홀딩스,1831679493300,081660
933,휴니드,88225093750,005870
934,휴비스,172500000000,079980
935,휴스틸,229250238750,005010
936,흥국화재,189194589525,000540
937,흥국화재2우B,3225600000,000547
938,흥국화재우,4830720000,000545
939,흥아해운,441179689665,003280
